Clue (6),ANSWER
 Die down (5),ABATE
 Diminish (5),ABATE
 Diminish (5),ABATE
 Diminish (5),ABATE
 Subsided (6),ABATED
" ""Dancing Queen"" band (4)",ABBA
" ""Fernando"" band (4)",ABBA
" ""S.O.S."" singers (4)",ABBA
" ""Take a Chance on Me"" singers (4)",ABBA
 Swedish rock group (4),ABBA
 Swedish rockers (4),ABBA
 Lane of song (4),ABBE
 Lane of song (4),ABBE
 Singer Lane (4),ABBE
 Singer Lane (4),ABBE
 Singer. _____ Lane (4),ABBE
 French clerics (5),ABBES
 Monks' milieus (6),ABBEYS
 Monastery bigwig (5),ABBOT
 Monastery head (5),ABBOT
 Monastery head (5),ABBOT
 Monastery head (5),ABBOT
 Children's tune starter (4),ABCD
 Opening lyrics of a children's tune (4),ABCD
 Grade-school basics (4),ABCS
 The basics (4),ABCS
 The basics (4),ABCS
 In dreamland (4),ABED
 In the land of Nod (4),ABED
 In the sack (4),ABED
 Busy as __ (4),ABEE
 Red as __ (5),ABEET
 Red as ___ (5),ABEET
 Dutch navigator Tasman (4),ABEL
 First victim (4),ABEL
 First victim (4),ABEL
 Labor leader I. W.____ (4),ABEL
 Emancipator from Nebraska? (10),ABELINCOLN
" ""___ For Adano"" (5)",ABELL
 Clear as __ (5),ABELL
 Burrows and Lincoln (4),ABES
 Burrows and Saperstein (4),ABES
 Lincoln and Vigoda (4),ABES
 Act as accomplice (4),ABET
 Aid nefariously (4),ABET
 Aid's partner (4),ABET
 Drive the getaway car. e.g. (4),ABET
 Encourage (4),ABET
 Have a hand in (4),ABET
 Help (4),ABET
 Help a hood (4),ABET
 Help a hood (4),ABET
 Help with a heist (4),ABET
 Help with a holdup (4),ABET
 Detest (5),ABHOR
 Have no use for (5),ABHOR
 Loathe (5),ABHOR
 Loathe (5),ABHOR
 Stand for (5),ABIDE
 Put up with (6),ABIDED
 Put up with (6),ABIDED
 Puts up with (6),ABIDES
 Puts up with (6),ABIDES
 Beau of 55D (4),ABIE
 Irish Rose lover (4),ABIE
 Irish Rose lover (4),ABIE
 Rose's guy (4),ABIE
" ""__ Irish Rose"" (5)",ABIES
" ""___ Irish Rose"" (5)",ABIES
 A. in code (4),ABLE
 Competent (4),ABLE
 Confident (4),ABLE
 Having the needed resources (4),ABLE
 Qualified (4),ABLE
 Ready and willing's companion (4),ABLE
 Talented (4),ABLE
 Up to the job (4),ABLE
 Up to the task (4),ABLE
 Up to the task (4),ABLE
 More qualified (5),ABLER
 More qualified (5),ABLER
 More talented (5),ABLER
 In a competent way (4),ABLY
 With skill (4),ABLY
" ""Li'l"" ____ (5)",ABNER
 Capp character (5),ABNER
 Capp character (5),ABNER
 Digs (5),ABODE
 Domicile (5),ABODE
 Habitat (5),ABODE
 Residence (5),ABODE
 Residence (5),ABODE
 Where you live (5),ABODE
 Dwellings (6),ABODES
" Subject of ""Fat Man and Little Boy"" (5)",ABOMB
 Terminate prematurely (5),ABORT
" ""___ Ben Adhem"" (4)",ABOU
 Hunt's poetic hero (4),ABOU
 Teem (6),ABOUND
 Close to (5),ABOUT
 Concerned with (5),ABOUT
 Exceeding (5),ABOVE
 Heavenward (5),ABOVE
 Over's partner (5),ABOVE
 Upstairs (5),ABOVE
" ""Life is Just ____ of Cherries"" (5)",ABOWL
 Start of a magician's chant (4),ABRA
 Rub the wrong way? (6),ABRADE
 Use a pumice stone (6),ABRADE
 Preposterous (6),ABSURD
 Snug as _____ in a rug (4),ABUG
 Assails verbally (6),ABUSES
 Border on (4),ABUT
 Border on (4),ABUT
 Border on (4),ABUT
 Touch at one end (4),ABUT
 Touch on (4),ABUT
 Bottomless pit (5),ABYSS
 Immeasurable depth (5),ABYSS
 Mimosa family member (6),ACACIA
 Sch. (4),ACAD
 West Point. e.g. (4),ACAD
 Not ___ in the world (5),ACARE
 Mite (6),ACARID
 Honda model (6),ACCORD
 Portable keyboard instruments (10),ACCORDIONS
 Buttonhole (6),ACCOST
 Entice (6),ACCOST
 Largest city in Ghana (5),ACCRA
 CPA (4),ACCT
 What to make a dep. into (4),ACCT
 Find fault with (6),ACCUSE
 Point the finger at (6),ACCUSE
 Current choices (4),ACDC
 Electrical option (4),ACDC
 Got a great mark on (4),ACED
 Got the better of (4),ACED
 Lucked out on the links (4),ACED
 Passed easily (4),ACED
 Scored a 1 on (4),ACED
 Scored on serve (4),ACED
" ""Dead Man's Hand"" pair (4)",ACES
 High cards (4),ACES
 Old pros (4),ACES
 Sampras sizzlers (4),ACES
 Serve scores (4),ACES
 Top cards (4),ACES
 Top cards (4),ACES
 You might find them up a sleeve (4),ACES
 Containing vinegar (6),ACETIC
 __-deucy (4),ACEY
 __-deucy (4),ACEY
 __-deucy (4),ACEY
 ___-deucy (4),ACEY
 Exercise aftermath (4),ACHE
 Feel painful (4),ACHE
 Hurt bad (4),ACHE
