Clue (6),ANSWER
 Stream deposit (4),SILT
 Bank deposits? (5),SILTS
 Scum and sediment (5),SILTS
 Australian movie. 1984 (10),SILVERCITY
" Role in ""The Lion King"" (5)",SIMBA
 Israeli celebrations (6),SIMCAS
 __ Valley. California (4),SIMI
 One of The Chipmunks (5),SIMON
" ""Porgy"" recorder Nina (6)",SIMONE
 Smirk (6),SIMPER
 Red Sea peninsula (5),SINAI
 From that time (5),SINCE
 In as much (5),SINCE
 Now that (5),SINCE
 To this day (5),SINCE
 Trigonometric function (4),SINE
 Trigonometric function (4),SINE
 Trigonometric ratios (5),SINES
 Wave types (5),SINES
 Tendon (5),SINEW
 Tendon (5),SINEW
 Half a prison (4),SING
 Warble (4),SING
 Burn a bit (5),SINGE
 Burn superficially (5),SINGE
" ""Enemies"" author (6)",SINGER
 Sewer's choice (6),SINGER
 Unmarried (6),SINGLE
 Tells all. gangland style (5),SINGS
" Prefix meaning ""Chinese"" (4)",SINO
 Path to the nose (5),SINUS
 South Pole explorer (5),SIPLE
 Beget (4),SIRE
 Dam's mate (4),SIRE
 Father (4),SIRE
 Father (4),SIRE
 Royal address (4),SIRE
 Title of yore (4),SIRE
 Bred winners (5),SIRED
 Fathered (5),SIRED
 Yes or no follower (5),SIREE
 City sound (5),SIREN
 Mae West. at times (5),SIREN
 Rock singer? (5),SIREN
 Sound of warning (5),SIREN
 Temptress (5),SIREN
 Warning wail (5),SIREN
 Police action? (6),SIRENS
 Kingly addresses (5),SIRES
 Gents (4),SIRS
 Knighted fellows (4),SIRS
 Letter beginning (4),SIRS
 Twine material (5),SISAL
 Spanish words of agreement (4),SISI
 Nun (6),SISTER
 Raga instrument (5),SITAR
 Shankar's instrument (5),SITAR
" ""___ the gate of the temple"": Gibran (5)",SITAT
 Weekly show (6),SITCOM
 Locale (4),SITE
 Location (4),SITE
 Lot or spot (4),SITE
 Spot on the Web (4),SITE
 Placed in position (5),SITED
 Locations (5),SITES
 Former Alaskan capital (5),SITKA
 Perch (5),SITON
 Poses for a painting (4),SITS
 In ___ (as found) (4),SITU
 In ____ (in its original place) (4),SITU
" ""One ___ fits all"" (4)",SIZE
 Classification (4),SIZE
 Jamacian musical pieces (4),SKAS
 32-card game (4),SKAT
 Card game for three (4),SKAT
 Game for three (4),SKAT
 Game with a small pack (4),SKAT
 Three-handed card game (4),SKAT
 Bladed shoe (5),SKATE
 Contemptible person (5),SKATE
 In-line vehicle (5),SKATE
 Old nag (5),SKATE
 Ray (5),SKATE
 Sneak out (5),SKATE
 Practiced at the rink (6),SKATED
 Henie was one (6),SKATER
 ___-Ball (4),SKEE
 Trap shooting (5),SKEET
 Trapshooting (5),SKEET
 Yarn purchase (5),SKEIN
 Go astray (4),SKEW
 Make tracks (4),SKID
 Mishap on the ice (4),SKID
 Slide sideways (4),SKID
 Type of mark (4),SKID
 Vail visitors (6),SKIERS
" ""Blue __"" (Berlin tune) (5)",SKIES
 Adeptness (5),SKILL
 Look over (4),SKIM
 Real story (6),SKINNY
 Pellicles (5),SKINS
 Leave quickly (4),SKIP
 Omit (4),SKIP
 Pass over (4),SKIP
 Dodge (the issue) (5),SKIRT
 Cross-country runners (4),SKIS
 A toast (5),SKOAL
 Item on a pirate's flag (5),SKULL
 Pate base (5),SKULL
 Scottish isle (4),SKYE
 Bacon measure (4),SLAB
 Chunk (4),SLAB
 Chunk of cheese (4),SLAB
 Chunk of concrete (4),SLAB
 Piece of marble (4),SLAB
 Pitcher's perch (4),SLAB
 Thick piece (4),SLAB
 Thick piece (4),SLAB
 Thick piece (4),SLAB
 Thick slice (4),SLAB
" ""Same Time. Next Year"" dramatist (5)",SLADE
 Blast furnace by-product (4),SLAG
 Smeltery waste (4),SLAG
 Smelting refuse (4),SLAG
 Allayed one's thirst (6),SLAKED
 Quenches (6),SLAKES
 Ski manuever (6),SLALOM
 Zigzag course (6),SLALOM
 Bridge coup (4),SLAM
 Bridge coup (4),SLAM
 Bridge coup (4),SLAM
 Bridge coup (4),SLAM
 Bridge triumph (4),SLAM
 Harsh criticism (4),SLAM
 Harsh criticism (4),SLAM
 Shut hard (4),SLAM
 Closes noisily (5),SLAMS
 Some are grand (5),SLAMS
 Jargon (5),SLANG
 Angle (5),SLANT
 Particular bias (5),SLANT
 Particular bias (5),SLANT
 Biases (6),SLANTS
 Leans (6),SLANTS
 Flat feet do it (4),SLAP
 Happy start (4),SLAP
 High-five sound (4),SLAP
 Hockey shot (4),SLAP
 Hockey shot (4),SLAP
 Insult (4),SLAP
 Rebuff (4),SLAP
 Drastically reduce. as prices (5),SLASH
 Not just trim (5),SLASH
 Chairback part (4),SLAT
 Shutter part (4),SLAT
 Roof material (5),SLATE
 Roofing material (5),SLATE
 Actor Christian (6),SLATER
 Blackboards (6),SLATES
 Belgrade native (4),SLAV
 Serb (4),SLAV
 Esne (5),SLAVE
 Work really hard (5),SLAVE
 Relative to Eastern Europe (6),SLAVIC
 It usually comes on the side (4),SLAW
 Shredded salad (4),SLAW
 Dispatch a dragon (4),SLAY
 Do in (4),SLAY
 Overwhelm (4),SLAY
 Overwhelm with laughter (4),SLAY
 Cheap stuff (6),SLEAZE
 Downhill racer (4),SLED
 Downhill transport (4),SLED
 Iditarod need (4),SLED
 Iditarod transport (4),SLED
 Iditerod entry (4),SLED
 Iditerod sight (4),SLED
 Pung (4),SLED
 Rosebud. for one (4),SLED
 Snow runner (4),SLED
 Snowy slope slider (4),SLED
 Toboggan (4),SLED
 Winter toy (4),SLED
 Winter vehicle (4),SLED
 Luges (5),SLEDS
 Winter sliders (5),SLEDS
 Glossy (5),SLEEK
 Streamlined (5),SLEEK
 Sights at the Americas Cup race (10),SLEEKKEELS
 Doze (5),SLEEP
 Sheep counter's goal (5),SLEEP
 Wintry comedown (5),SLEET
 Coming down cold and hard (6),SLEETY
 Arm cover (6),SLEEVE
 Dolman or raglan (6),SLEEVE
 Caught some Zs (5),SLEPT
 Gumshoe (6),SLEUTH
 1977 derby winner. Seattle ____ (4),SLEW
 Bunch (4),SLEW
 Did in (4),SLEW
 Murdered (4),SLEW
 Bread unit (5),SLICE
 Diced's companions (6),SLICED
 Winter effects? (10),SLICKROADS
 Coasted (4),SLID
 Skidded (4),SLID
 Tried to avoid the tag (4),SLID
 Playground sight (5),SLIDE
 Obsolete calculators (10),SLIDERULES
 Craftier (5),SLIER
 Foxiest (6),SLIEST
 Lose it (4),SLIM
 Narrow of shape (4),SLIM
 Pickens. the actor (4),SLIM
 Willowy (4),SLIM
 Gooey mess (5),SLIME
 Covered in ooze (6),SLIMED
 Covered with goo (6),SLIMED
 Arm holder (5),SLING
 Cast support (5),SLING
 Giant killer (5),SLING
 Encounter a banana peel (4),SLIP
 Yacht spot (4),SLIP
 ___ cog (err) (5),SLIPA
 Incision (4),SLIT
 Narrow cut (4),SLIT
 Skirt feature (4),SLIT
 Novelist Wilson (5),SLOAN
 Messy one (4),SLOB
 Oscar Madison and his kind (5),SLOBS
 Blackthorn (4),SLOE
 Gin flavoring (4),SLOE
 Kind of gin (4),SLOE
 Wild plum (4),SLOE
 ___ gin fizz (4),SLOE
 ___-eyed (4),SLOE
 ____ gin (4),SLOE
 Blackthorns (5),SLOES
 Maneuver through muck (4),SLOG
 Plod along (4),SLOG
 Walk through muck (4),SLOG
 Tramps (5),SLOGS
 Movie camera setting (5),SLOMO
 TV replay term (5),SLOMO
 Single-masted vessel (5),SLOOP
 Sailboat types (6),SLOOPS
 Food for the hogs (4),SLOP
 Splatter (4),SLOP
 Swill (4),SLOP
 Trough filler (4),SLOP
 Unappetizing fare (4),SLOP
 Ski area (5),SLOPE
 Inclined (6),SLOPED
 Like many a bachelor pad (6),SLOPPY
 Splash with liquid (5),SLOSH
" ""One-armed bandit"" feature (4)",SLOT
 Atlantic City machine (4),SLOT
 Atlantic City machine (4),SLOT
 Casino machine (4),SLOT
 Casino machine (4),SLOT
 Jukebox part (4),SLOT
 Meter mouth (4),SLOT
 Piggy-bank opening (4),SLOT
 Vegas machine (4),SLOT
 Vending machine feature (4),SLOT
 Ai's and others (6),SLOTHS
 AC or Vegas favorites (5),SLOTS
 Atlantic City staples (5),SLOTS
 Street sign (4),SLOW
 Playback setting (10),SLOWMOTION
 Christmas in July? (10),SLOWSEASON
 Skid around (4),SLUE
 Turned about (5),SLUED
 Hit hard (4),SLUG
 Nancy's friend (6),SLUGGO
 Urban area (4),SLUM
 Urban eyesore (4),SLUM
 Hitless stretch (5),SLUMP
 Hurled (5),SLUNG
 Suspended (5),SLUNG
 Aspersion (4),SLUR
 Disparage (4),SLUR
 Drink noisily (5),SLURP
 Leonard ___. aka Roy Rogers (4),SLYE
 Roy Rogers' real last name (4),SLYE
 Foxlike (5),SLYLY
 In a foxy way (5),SLYLY
 Stone and Stallone (4),SLYS
 Give a noisy kiss (5),SMACK
 Busses (6),SMACKS
 Maxwell ___ (Agent 86) (5),SMART
 Witty (5),SMART
 Computerized commuter vehicles (10),SMARTTRAMS
 Ain't it grand? (10),SMARVELOUS
 Crush (5),SMASH
 Type of hit (5),SMASH
 Bad mouth (5),SMEAR
" ""Peter Pan"" pirate (4)",SMEE
 Duck found in crossword puzzles (4),SMEE
 Hook's henchman (4),SMEE
 Hook's henchman (4),SMEE
 Hook's mate (4),SMEE
 Sniff out (5),SMELL
 Use one's nose (5),SMELL
 Bouquets (6),SMELLS
 Grunion relative (5),SMELT
 Small. slender fish (5),SMELT
 :-) (5),SMILE
 Cheshire cat. really (6),SMILER
" ""A Thousand Acres"" author (6)",SMILEY
 Afflict (5),SMITE
 Strike like St. George (5),SMITE
 Shoe expert? (5),SMITH
 Forger's shop (6),SMITHY
 Pollution problem (4),SMOG
 Valentine's Day greeting (6),SMOOCH
 Unwrinkled (6),SMOOTH
 Dealt a heavy blow (5),SMOTE
 Avocado grove pot (6),SMUDGE
 Offensively satisfied (4),SMUG
 One who's always blue? (5),SMURF
 Little blue guys (6),SMURFS
 Nibble (5),SNACK
 Nibble between meals (5),SNACK
 Confusion acronym (5),SNAFU
 Bramble act (4),SNAG
 Glitch (4),SNAG
 Hang-up (4),SNAG
 Hidden obstacle (4),SNAG
 Hitch in a plan (4),SNAG
 Unexpected problem (4),SNAG
 Hose problems (5),SNAGS
 Wind around (5),SNAKE
 You could find this in the grass (5),SNAKE
 Bite (4),SNAP
 Crack suddenly (4),SNAP
 Fastener (4),SNAP
 Fastener (4),SNAP
 Fastener (4),SNAP
 Finger-thumb click (4),SNAP
 Kind of cookie (4),SNAP
 Lose it (4),SNAP
 One of a cereal-box trio (4),SNAP
 Piece of cake (4),SNAP
 Piece of cake (4),SNAP
 Tang (4),SNAP
" Flower with ""jaws"" (10)",SNAPDRAGON
 Garden plant (10),SNAPDRAGON
 Fasteners (5),SNAPS
 Goes postal (5),SNAPS
 Loses it (5),SNAPS
 Responds harshly (5),SNAPS
 Grab in a hurry (6),SNAPUP
 Drum (5),SNARE
 Part of Krupa's kit (5),SNARE
 Part of a drum set (5),SNARE
 Trap (5),SNARE
 Trapper (6),SNARER
 Traps (6),SNARES
 Angler's headache (5),SNARL
 Curl the lip (5),SNARL
 Tie-up (5),SNARL
 Anglers headaches (6),SNARLS
 Sam of the links (5),SNEAD
 Kind of attack (5),SNEAK
 Surreptitous (6),SNEAKY
 Cut. old-style (4),SNEE
 Cut. old-style (4),SNEE
 Knife (4),SNEE
 Snick-or-___ (4),SNEE
 Snicker ____ (4),SNEE
 Dirty look (5),SNEER
 Look from Snidely Whiplash (5),SNEER
 Look of contempt (5),SNEER
 Look with scorn (5),SNEER
 Show scorn (5),SNEER
 Villain's grimace (5),SNEER
 Expresses derision (6),SNEERS
 Shows disdain (6),SNEERS
 Cause for a blessing (6),SNEEZE
 Fishing line attachment (5),SNELL
 Dummy Mortimer (5),SNERD
 Cynical (5),SNIDE
 Duke of Flatbush (6),SNIDER
 Faint odor (5),SNIFF
 Barber's cut (4),SNIP
 Cut into (4),SNIP
 Get coupons (4),SNIP
 Assail (5),SNIPE
 Bad mood (4),SNIT
 Irritated state (4),SNIT
 Pet (4),SNIT
 State of agitation (4),SNIT
 State of agitation (4),SNIT
 State of irritation (4),SNIT
 Tiff (4),SNIT
 Tiff (4),SNIT
 Tiff (4),SNIT
 Tiff (4),SNIT
 Tiff (4),SNIT
 Todo (4),SNIT
 Fits of pique (5),SNITS
 Elitist (4),SNOB
 High-nosed one (4),SNOB
 Highbrow (4),SNOB
 Pretentious person (4),SNOB
 Stuck-up one (4),SNOB
 Uppity type (4),SNOB
 High hats (5),SNOBS
 They're stuck up (5),SNOBS
 Hair protectors (6),SNOODS
 Nosy sort (5),SNOOP
 Spy on (5),SNOOP
 Nose (5),SNOOT
 Take forty winks (6),SNOOZE
 Nightly noise (5),SNORE
 Kept people up (6),SNORED
 Noisemaker of the night (6),SNORER
 Nasal sounds (6),SNORES
 Huff and puff (5),SNORT
 Proboscis (5),SNOUT
" ""Strangers and Brothers"" novelist (4)",SNOW
 Winter ground cover (4),SNOW
 Winter sight (4),SNOW
" Hemingway's ""The ____ of Kilimanjaro"" (5)",SNOWS
 Winter effects? (10),SNOWSTORMS
 Charred portion of a candlewick (5),SNUFF
 Cozy (4),SNUG
 Drench (4),SOAK
 Part of a wash cycle (4),SOAK
 Washer cycle (4),SOAK
 Saturates (5),SOAKS
 Bath need (4),SOAP
 Full of suds (5),SOAPY
 Lathery (5),SOAPY
 Fly high (4),SOAR
 Fly high (4),SOAR
 Fly high (4),SOAR
 Fly like an eagle (4),SOAR
 Fly like an eagle (4),SOAR
 Fly like an eagle (4),SOAR
 Fly like an eagle (4),SOAR
 Make like an eagle (4),SOAR
 Parasail (4),SOAR
 See 12D (4),SOAR
 High flier (6),SOARER
 In order that it may (6),SOASTO
 Dry and white in Verona (5),SOAVE
 Asian noodles (4),SOBA
 Noodles in the udon (4),SOBA
 Amen (6),SOBEIT
 Clear-headed (5),SOBER
 On the wagon (5),SOBER
 Edna Ferber novel (5),SOBIG
 Edna Ferber novel (5),SOBIG
 Boohoos (4),SOBS
 Weeps aloud (4),SOBS
 Pedestal (5),SOCLE
 Club ____ (4),SODA
 Fizzling beverage (4),SODA
 Jerk's concoction (4),SODA
 Jerk's creation? (4),SODA
 Soft drink (4),SODA
 Vending machine choice (4),SODA
 Bubbly beverages (5),SODAS
 Coke and Pepsi. e.g. (5),SODAS
 Counter offers? (5),SODAS
 Orders at a fountain (5),SODAS
 One half of a salt mine (6),SODIUM
 Puts in 3D (4),SODS
 Davenport (4),SOFA
 Furniture buy (4),SOFA
 Remote location (4),SOFA
 Places to sit (5),SOFAS
 Bulgarian city (5),SOFIA
 Easily molded (4),SOFT
 Yielding (4),SOFT
 Not as hard (6),SOFTER
" 1969 Doors album. with ""The"" (10)",SOFTPARADE
 Pushover (5),SOFTY
 Pushover (5),SOFTY
 London area (4),SOHO
 London area (4),SOHO
 London district (4),SOHO
 London district (4),SOHO
 Manhattan locale (4),SOHO
 Evening in Paris (4),SOIR
 Evening in Paris (4),SOIR
 Evening in Paris (4),SOIR
 Evening party (6),SOIREE
 Evening party (6),SOIREE
 Stage direction (4),SOLA
 Clean power (5),SOLAR
 Kind of energy (5),SOLAR
 Convinced (4),SOLD
 A flatfish (4),SOLE
 Dover fish (4),SOLE
 Fish dish (4),SOLE
 Flatfish (4),SOLE
 Flatfish (4),SOLE
 One and only (4),SOLE
 One and only (4),SOLE
 ____ survivor (4),SOLE
 Made like a cobbler (5),SOLED
 Exclusively (6),SOLELY
 Serious (6),SOLEMN
 They're on the bottom (5),SOLES
 Aria parts (4),SOLI
 Arias (4),SOLI
 Parts for Domingo (4),SOLI
 Irrefutable (5),SOLID
 You have to chew on these (6),SOLIDS
 All by one's lonesome (4),SOLO
 La Scala song (4),SOLO
 Napoleon from U.N.C.L.E. (4),SOLO
" Napoleon of ""The Man From U.N.C.L.E."" (4)",SOLO
 Napoleon of The Man From UNCLE (4),SOLO
 On one's own (4),SOLO
 One at a time (4),SOLO
 Single-handed (4),SOLO
 Unaccompanied (4),SOLO
 Law giver (5),SOLON
 Pavarotti arias (5),SOLOS
 Conductor Georg from Budapest (5),SOLTI
 Former Chicago Symphony conductor (5),SOLTI
 Body (4),SOMA
 Cell body (4),SOMA
 Cell body (4),SOMA
 Cell body (4),SOMA
 A few (4),SOME
 A few (4),SOME
 Voiced (6),SONANT
 Bass boat device (5),SONAR
 Detection device (5),SONAR
 Detection device (5),SONAR
 Dolphin sense (5),SONAR
 Echo-locator (5),SONAR
 Echolocation device (5),SONAR
 Navigational device (5),SONAR
" Beethoven's ""Kreutzer."" e.g. (6)",SONATA
 Musical composition (6),SONATA
 Unit of sound (4),SONE
 Nightclub number (4),SONG
 Berlin's forte (5),SONGS
 Noted presentations? (5),SONGS
 Solomon's pieces (5),SONGS
" Boom in ""The Right Stuff"" (5)",SONIC
 Kind of boom (5),SONIC
 Young boy (5),SONNY
 Young boy. familiarly (5),SONNY
" ""__ and Lovers"" (4)",SONS
 Some offspring (4),SONS
 Betamax introducer (4),SONY
 Any minute now (4),SOON
 Before long (4),SOON
 Before you know it (4),SOON
 Before you know it (4),SOON
 Part of ASAP (4),SOON
 Oklahoma athlete (6),SOONER
 Carbon particles (4),SOOT
 Chimney coating (4),SOOT
 Like chimneys (5),SOOTY
 Second year man. for short (4),SOPH
" Absorbs. with ""up"" (4)",SOPS
 Soaks up (4),SOPS
 Absorb (5),SOPUP
 American rail (4),SORA
 Rail bird (4),SORA
 Shy. estuarine bird (4),SORA
 Aching (4),SORE
 Achy (4),SORE
 In need of a massage (4),SORE
 Irritated (4),SORE
 Tender (4),SORE
 French philosopher Georges (5),SOREL
 Existentialist Kierkegaard (5),SOREN
 Hurting even more (5),SORER
 Reddish-brown (6),SORREL
 Grief (6),SORROW
 Catalog (4),SORT
 Collate (4),SORT
 Database option (4),SORT
 File (4),SORT
 Alphabetizes (5),SORTS
 Categorize (5),SORTS
 Puts in order (5),SORTS
 Puts in proper order (5),SORTS
 What grouches are out of (5),SORTS
 Average (4),SOSO
 Fair to middling (4),SOSO
 Fair to mlddling (4),SOSO
 Just passable (4),SOSO
 Just passing (4),SOSO
 Okay. sort of (4),SOSO
" ""And __ bed"" (4)",SOTO
 Desert plant (5),SOTOL
 Lushes (4),SOTS
 Sans ___ (5),SOUCI
 Psyche (4),SOUL
" ""Duck _____"" (4)",SOUP
" ""___ to nuts"" (4)",SOUP
 All-inclusive (10),SOUPTONUTS
 Embitter (4),SOUR
 Ill-humored (4),SOUR
 Lemon-like (4),SOUR
 Goes bad (5),SOURS
 Tours trifles (4),SOUS
 Marching band composer (5),SOUSA
 The March King (5),SOUSA
 Drench (5),SOUSE
 Supreme Court member (6),SOUTER
 Hand player in bridge columns (5),SOUTH
 Planted (4),SOWN
 Scattered seed (4),SOWN
 Scattered. as seed (4),SOWN
 Scattered. as seed (4),SOWN
 Mama pigs (4),SOWS
 Bobby ___ (5),SOXER
" ""The Final Frontier"" (5)",SPACE
 Room to breathe (5),SPACE
 Hollywood's Sissy (6),SPACEK
 A deck king (5),SPADE
 Detective Sam (5),SPADE
 Garden tool (5),SPADE
 Black cards (6),SPADES
 Picasso's homeland (5),SPAIN
 Ship builder's cross timber (5),SPALE
 Canned course? (4),SPAM
 About nine inches (4),SPAN
 Bridge (4),SPAN
 Bridge (4),SPAN
 Bridge (4),SPAN
 Bridge (4),SPAN
 Bridge (4),SPAN
 C follower (4),SPAN
 C follower on TV (4),SPAN
 Extend over (4),SPAN
 Extent (4),SPAN
 Farm team (4),SPAN
 Pair of oxen (4),SPAN
 Space between extremities (4),SPAN
 Team of oxen (4),SPAN
 Bridges (5),SPANS
 Box (4),SPAR
 Exchange verbal blows (4),SPAR
 Mast (4),SPAR
 Prepare for fight night (4),SPAR
 Rigging support (4),SPAR
 Ship's pole (4),SPAR
 Work out (4),SPAR
 Diagonal line. on a score sheet (5),SPARE
 Donut in a trunk (5),SPARE
 Flat replacement (5),SPARE
 It may be found in the trunk (5),SPARE
 Trunk item (5),SPARE
 Back-up at the altar? (10),SPAREGROOM
 Lets off the hook (6),SPARES
 Lets off the hook (6),SPARES
 Longtime manager Anderson (6),SPARKY
 Meager (6),SPARSE
 Meager (6),SPARSE
 City in ancient Greece (6),SPARTA
 Health clubs (4),SPAS
 Laps of luxury (4),SPAS
 These will soak you (4),SPAS
 Leg cramp. e.g. (5),SPASM
 Falling-out (4),SPAT
 Lovers' tiff (4),SPAT
 Petty clash (4),SPAT
 Run-in (4),SPAT
 Tiff (4),SPAT
 Tiff (4),SPAT
 Tiff (4),SPAT
 Deluge (5),SPATE
 Outbreak (5),SPATE
 Cascades (6),SPATES
 Gaiters (5),SPATS
 Quarrels (5),SPATS
 Upstream activity (5),SPAWN
 Fix (4),SPAY
 Humane org. (4),SPCA
 Humane society (4),SPCA
 Pet protector: acronym (4),SPCA
 Lecture (5),SPEAK
 Utter (5),SPEAK
 Asparagus measure (5),SPEAR
 Javelin (5),SPEAR
 Asparagus units (6),SPEARS
 Watusi weapons (6),SPEARS
 Builder's model (4),SPEC
 Builder's sample (4),SPEC
 Contract requirement. for short (4),SPEC
 On ___ (with an eye toward selling) (4),SPEC
 Exceeded the limit (4),SPED
 Hustled (4),SPED
 Tore (4),SPED
 Graf __ (4),SPEE
 Graf ___ (4),SPEE
 Exceed the limit (5),SPEED
 Risk a summons (5),SPEED
 Risk a ticket (5),SPEED
 Risks a summons (6),SPEEDS
 Alka Seltzer spokesman (6),SPEEDY
 Quick (6),SPEEDY
 Rapid (6),SPEEDY
 1945 Bergman / Peck movie (10),SPELLBOUND
 Go through (5),SPEND
 Use a credit card (5),SPEND
 Use plastic or cash (5),SPEND
 1985 Horse of the Year (10),SPENDABUCK
 Squanders (6),SPENDS
 Squandered (5),SPENT
 Kind of whale (5),SPERM
 Gush (4),SPEW
 Gush (4),SPEW
 Gush forth (4),SPEW
 Gush forth (4),SPEW
 Throw out (4),SPEW
 Geometrical figure (6),SPHERE
 Little girl's ingredient (5),SPICE
 British singing group (10),SPICEGIRLS
 Herbs (6),SPICES
" Did ""Mission Impossible"" work (5)",SPIED
 Extravagant talk (5),SPIEL
 Spruce (up) (5),SPIFF
 Exxon Valdez calamity (5),SPILL
 English (4),SPIN
 Reel (4),SPIN
" TV's ""___ City"" (4)",SPIN
 Tail or top follower (4),SPIN
 Type of doctor (4),SPIN
 With 37D. TV comedy with Michael J. Fox (4),SPIN
 Book back (5),SPINE
 Jaunts (5),SPINS
 Makes yarn (5),SPINS
 Short drives (5),SPINS
 Church part (5),SPIRE
 Skyline sight (5),SPIRE
 Flowering shrub of the rose family (6),SPIREA
 Steepletops (6),SPIRES
 Hubert's successor (5),SPIRO
 BBQ accessory (4),SPIT
 Polish's pal (4),SPIT
 Rotisserie part (4),SPIT
 Malevolence (5),SPITE
 Meanness (5),SPITE
 Fly-swatter sound (5),SPLAT
 Spread out (5),SPLAY
 Spread out. as the fingers (5),SPLAY
 E.R. supply (6),SPLINT
 First-aid device (6),SPLINT
 Part company (5),SPLIT
 Kirk's second in command (5),SPOCK
 British potter (5),SPODE
 China maker (5),SPODE
 China maker (5),SPODE
 Fine china (5),SPODE
 Rung (5),SPOKE
 Bike wheel radii (6),SPOKES
 Lampoon (5),SPOOF
 After tea or table (5),SPOON
 Make out (5),SPOON
 Three wood (5),SPOON
 Animal track (5),SPOOR
 Animal track (5),SPOOR
 Future fern (5),SPORE
 Mushroom. in infancy (5),SPORE
 Rugby. for one (5),SPORT
 Wrestling. for one (5),SPORT
 Wrestling. for one (5),SPORT
 Dick and Jane's dog (4),SPOT
 Locale (4),SPOT
 Name on the doghouse (4),SPOT
 Name on the doghouse (4),SPOT
 TV commercial (4),SPOT
 Tea units. to the Brits (5),SPOTS
 Marriage partner (6),SPOUSE
 Ankle malady (6),SPRAIN
 Jack who avoided fat (5),SPRAT
 When canned. it's a sardine (5),SPRAT
 Cattle ranch (6),SPREAD
 Binge (5),SPREE
 Frolic (5),SPREE
 Unrestrained episode (5),SPREE
 More energetic (6),SPRIER
 Small bunch (5),SPRIG
 Twig (5),SPRIG
 Cell phone provider (6),SPRINT
 Blooming seasons. in short (4),SPRS
 Agile (4),SPRY
 Like Olga Korbut (4),SPRY
 Nimble and quick (4),SPRY
 Tater (4),SPUD
 Ejected (5),SPUED
 Garden weed (6),SPURGE
 Give the cold-shoulder (5),SPURN
 Gush forth (5),SPURT
 Small meas (4),SQIN
 Octopuses' cousins (6),SQUIDS
 Peer with partially closed eyes (6),SQUINT
 Hit signs (4),SROS
 Theater signs (4),SROS
 Mex. miss (4),SRTA
 Spanish Mlle. (4),SRTA
 WWII bad one (5),SSMAN
 Lat. and Ukr.. formerly (4),SSRS
 Air France speedsters. once (4),SSTS
 Air France speedsters. once (4),SSTS
 Atl. flyers (4),SSTS
 Concordes (4),SSTS
 Concordes. for short (4),SSTS
 Fast fliers (4),SSTS
 Grounded fliers (4),SSTS
 Jetset jets (4),SSTS
 Mach-makers?: Abbr. (4),SSTS
 Mach-makers?: Abbr. (4),SSTS
 Quickie flights (4),SSTS
 Traveler's timesavers (4),SSTS
 Attempt (4),STAB
 Attempt (4),STAB
 Poke with a pick (4),STAB
 Spear (4),STAB
 Attempt (6),STABAT
 On an even keel (6),STABLE
 Attempts (5),STABS
 Pokes at (5),STABS
 Wounds (5),STABS
 Pancake serving (5),STACK
 Some bowls (6),STADIA
 Walking stick (5),STAFF
 Personnel (6),STAFFS
 For men only (4),STAG
 Lone (4),STAG
 Male caribou (4),STAG
 One alone (4),STAG
 Type of party (4),STAG
 Unaccompanied (4),STAG
 Unaccompanied (4),STAG
 Unescorted (4),STAG
 Without a date (4),STAG
 Without a date (4),STAG
" ""Rent"" platform (5)",STAGE
 Kind of fright (5),STAGE
 Play area (5),STAGE
 Play area (5),STAGE
 Play ground (5),STAGE
 Amos Alonzo ___ (5),STAGG
 Big bucks (5),STAGS
 Colleague of Safer and Bradley (5),STAHL
 Blemish (5),STAIN
 Blotch (5),STAIN
 Discoloration (5),STAIN
 Sully (5),STAIN
 Besmirches (6),STAINS
 Flight part (5),STAIR
 Part of a flight (5),STAIR
 Tent holder (5),STAKE
 Vampire slayer (5),STAKE
 German prison camp (6),STALAG
 Like old bread (5),STALE
 What heels become over time (6),STALER
 No ordinary Joe (6),STALIN
 Originally: Iosif Vissarionovich Dzhugashvili (6),STALIN
 Yalta attendee (6),STALIN
 Asparagus spear (5),STALK
 Celery portion (5),STALK
 Stable areas (6),STALLS
 Flower part (6),STAMEN
 Envelope addition (5),STAMP
 Envelope attachment (5),STAMP
 Philatelist's concern (6),STAMPS
 Big band leader Kenton (4),STAN
 Comedian Laurel (4),STAN
 Comic. ___ Laurel (4),STAN
 Getz or Kenton (4),STAN
 Jazzman Getz (4),STAN
 Laurel or Musial (4),STAN
 Lee of Marvel Comics (4),STAN
 Marvel Comics' Lee (4),STAN
 Musial of baseball (4),STAN
 Musial or Kenton (4),STAN
 Musial or Kenton (4),STAN
 Ollie's partner (4),STAN
 Ollie's partner (4),STAN
 Pal of Ollie (4),STAN
" ""___ by your man..."" (5)",STAND
 Easel (5),STAND
 Easel (5),STAND
 Kiosk (5),STAND
 Position (5),STAND
 Exudes confidence (10),STANDSTALL
 Musial and Kubrick (5),STANS
 Bacterial infection. for short (5),STAPH
 Capital 8 (4),STAR
 Capital 8? (4),STAR
 Dressing-room door adornment (4),STAR
 Featured lead (4),STAR
 Film VIP (4),STAR
 Have the lead (4),STAR
 Have the lead (4),STAR
 Headliner (4),STAR
 Headliner (4),STAR
 Hubble focus (4),STAR
 Play the lead (4),STAR
 Polaris. for one (4),STAR
 Sky light (4),STAR
 Theatre attraction (4),STAR
" Apt rhyme for ""glare"" (5)",STARE
 Eye rudely (5),STARE
 Gaze (5),STARE
